card_id,card4,card6,card1
C12382-K1,visa,debit,
C11891-K1,mastercard,credit,
C08623-K2,mastercard,credit,
C08106-K1,visa,debit,
C02923-K1,visa,credit,
C07297-K1,mastercard,debit,
C09933-K2,visa,debit,
C13171-K2,visa,credit,
C08299-K1,visa,credit,
C10434-K1,visa,credit,
C11923-K2,visa,debit,
C05876-K2,visa,debit,
C07671-K2,mastercard,debit,
C13487-K1,mastercard,debit,
C03042-K1,mastercard,credit,
C09988-K1,visa,debit,
C04570-K1,mastercard,credit,
C02354-K2,visa,debit,
C07987-K2,visa,credit,
C12265-K2,visa,debit,
C00259-K1,visa,credit,
C06403-K2,visa,debit,
C13440-K2,mastercard,debit,
C08945-K2,visa,debit,
C11227-K2,visa,credit,
C00732-K1,visa,debit,
C03667-K1,mastercard,debit,
C10112-K1,american express,credit,
C03246-K1,visa,credit,
C13259-K1,visa,credit,
C07220-K1,visa,credit,
C11464-K2,visa,debit,
C01002-K1,mastercard,credit,
C04597-K2,mastercard,debit,
C03575-K2,visa,debit,
C03651-K2,mastercard,debit,
C06800-K1,visa,debit,
C06208-K1,mastercard,credit,
C11082-K1,visa,credit,
C04265-K1,american express,credit,
C07847-K2,visa,debit,
C11309-K1,visa,credit,
C06059-K2,visa,debit,
C12311-K2,mastercard,debit,
C08842-K2,visa,debit,
C02999-K2,visa,debit,
C07741-K2,mastercard,debit,
C03277-K1,visa,credit,
C04762-K1,visa,debit,
C09289-K1,visa,debit,
C05704-K2,visa,credit,
C03880-K1,visa,debit,
C09196-K1,visa,credit,
C03738-K2,visa,debit,
C05996-K1,mastercard,debit,
C02717-K1,american express,credit,
C13061-K1,visa,credit,
C08675-K1,american express,credit,
C07648-K2,visa,debit,
C12094-K2,visa,debit,
C10164-K1,mastercard,debit,
C06147-K2,visa,debit,
C07212-K2,visa,credit,
C01579-K1,mastercard,debit,
C03108-K1,mastercard,debit,
C01638-K1,mastercard,credit,
C09221-K2,visa,debit,
C05976-K1,visa,credit,
C11595-K1,mastercard,credit,
C02000-K2,mastercard,debit,
C05736-K1,mastercard,credit,
C04248-K2,mastercard,credit,
C12598-K2,visa,debit,
C03412-K1,visa,credit,
C09165-K2,mastercard,credit,
C03348-K1,visa,credit,
C03699-K1,visa,credit,
C07867-K2,mastercard,debit,
C11000-K2,mastercard,credit,
C13005-K1,american express,credit,
C03839-K1,mastercard,debit,
C10167-K1,visa,credit,
C11844-K2,visa,credit,
C09076-K1,visa,credit,
C01471-K1,visa,debit,
C12166-K2,visa,debit,
C13372-K1,mastercard,credit,
C12111-K1,visa,debit,
C11496-K2,visa,debit,
C05385-K2,visa,debit,
C05289-K2,mastercard,credit,
C00978-K1,mastercard,credit,
C07149-K2,visa,debit,
C00938-K1,visa,debit,
C06940-K1,visa,credit,
C00621-K2,visa,debit,
C04201-K1,visa,debit,
C12900-K2,mastercard,debit,
C10585-K2,visa,credit,
C05307-K2,visa,debit,
C11031-K2,visa,debit,
C02477-K1,mastercard,credit,
C09354-K1,mastercard,credit,
C00854-K2,mastercard,credit,
C08913-K2,visa,credit,
C12517-K2,visa,debit,
C07073-K1,visa,debit,
C12987-K1,mastercard,credit,
C09301-K2,mastercard,debit,
C13001-K1,visa,debit,
C06988-K1,visa,debit,
C07508-K2,mastercard,credit,
C06348-K1,visa,debit,
C10326-K1,visa,debit,
C08075-K1,visa,debit,
C02573-K2,visa,debit,
C08860-K1,mastercard,credit,
C09908-K1,american express,credit,
C10308-K1,mastercard,credit,
C11539-K2,visa,credit,
C09885-K1,visa,debit,
C07855-K1,mastercard,credit,
C11965-K1,visa,credit,
C05263-K2,visa,debit,
C02575-K2,mastercard,debit,
C06655-K1,mastercard,debit,
C05245-K2,visa,debit,
C06532-K2,mastercard,debit,
C03409-K1,visa,debit,
C04108-K2,mastercard,credit,
C01981-K1,mastercard,debit,
C09612-K1,visa,credit,
C00750-K2,discover,credit,
C11919-K2,mastercard,credit,
C07196-K2,visa,credit,
C08460-K1,mastercard,debit,
C08466-K1,visa,credit,
C04346-K2,visa,debit,
C11513-K1,visa,credit,
C02891-K1,mastercard,debit,
C01982-K2,visa,credit,
C08474-K1,mastercard,credit,
C05029-K1,visa,debit,
C10127-K2,visa,debit,
C07936-K2,visa,debit,
C13036-K1,visa,debit,
C01521-K2,visa,credit,
C03341-K2,mastercard,debit,
C12982-K1,visa,credit,
C01058-K1,visa,debit,
C02480-K1,visa,credit,
C01347-K2,visa,credit,
C08087-K1,mastercard,credit,
C06121-K2,visa,debit,
C10553-K1,visa,debit,
C06224-K2,visa,credit,
C07870-K2,mastercard,debit,
C06549-K1,mastercard,debit,
C12103-K1,visa,debit,
C00967-K1,american express,credit,
C00728-K2,visa,debit,
C06942-K2,mastercard,debit,
C12961-K2,visa,credit,
C01984-K1,mastercard,credit,
C03040-K2,visa,credit,
C02309-K2,visa,debit,
C11944-K1,visa,debit,
C03080-K2,mastercard,debit,
C05362-K1,mastercard,credit,
C00614-K2,visa,debit,
C01966-K1,visa,credit,
C12897-K1,visa,credit,
C01138-K2,visa,debit,
C09791-K1,mastercard,credit,
C11332-K1,mastercard,credit,
C04105-K2,visa,debit,
C07686-K1,mastercard,credit,
C05309-K1,visa,credit,
C06605-K1,visa,credit,
C03278-K2,mastercard,credit,
C01155-K2,visa,credit,
C07981-K1,visa,credit,
C12223-K1,visa,debit,
C11597-K2,visa,credit,
C01040-K2,visa,debit,
C01179-K1,mastercard,debit,
C02716-K2,visa,credit,
C09800-K2,visa,debit,
C04965-K2,visa,debit,
C03787-K1,visa,debit,
C11642-K1,visa,credit,
C12144-K2,mastercard,debit,
C09666-K2,visa,debit,
C10040-K1,mastercard,credit,
C02065-K1,visa,debit,
C02245-K2,visa,debit,
C02902-K2,visa,debit,
C08450-K2,visa,debit,
C01486-K1,american express,credit,
C11709-K2,mastercard,debit,
C06764-K2,visa,debit,
C10930-K2,mastercard,debit,
C04134-K1,mastercard,credit,
C11509-K2,mastercard,debit,
C01116-K2,visa,debit,
C04348-K1,mastercard,credit,
C01119-K2,visa,debit,
C05689-K2,mastercard,debit,
C00777-K1,visa,debit,
C11898-K1,visa,debit,
C02897-K1,visa,debit,
C02231-K2,discover,credit,
C02776-K1,mastercard,credit,
C06630-K2,mastercard,credit,
C01887-K1,visa,credit,
C07743-K2,visa,debit,
C02250-K2,mastercard,credit,
C07204-K1,mastercard,credit,
C06464-K1,mastercard,credit,
C00273-K1,mastercard,credit,
C00426-K2,mastercard,credit,
C07993-K1,american express,credit,
C06962-K2,visa,debit,
C12542-K1,mastercard,debit,
C09146-K1,visa,debit,
C05359-K1,visa,debit,
C13364-K1,visa,debit,
C11092-K2,visa,debit,
C00952-K1,visa,debit,
C01377-K1,visa,debit,
C01175-K1,visa,debit,
C03168-K1,visa,debit,
C02545-K2,mastercard,credit,
C03405-K2,visa,debit,
C01909-K2,visa,debit,
C08381-K1,visa,debit,
C06168-K1,visa,debit,
C05423-K1,visa,credit,
C11958-K1,mastercard,debit,
C09241-K2,visa,debit,
C06707-K1,,,
C02656-K1,visa,debit,
C04046-K2,visa,debit,
C11294-K2,mastercard,credit,
C06797-K1,mastercard,debit,
C01269-K1,visa,debit,
C09363-K2,visa,debit,
C05739-K2,visa,debit,
C02222-K1,visa,credit,
C11019-K2,mastercard,debit,
C06663-K2,visa,debit,
C06108-K1,mastercard,debit,
C12602-K1,visa,credit,
C08256-K2,mastercard,debit,
C07871-K1,visa,credit,
C11191-K1,mastercard,debit,
C02456-K1,mastercard,credit,
C10757-K2,visa,credit,
C12742-K1,mastercard,debit,
C01983-K1,visa,credit,
C13253-K2,visa,debit,
C10955-K2,mastercard,credit,
C10983-K1,visa,debit,
C03047-K2,visa,debit,
C13388-K1,visa,credit,
C05509-K1,visa,credit,
C08489-K2,visa,credit,
C03474-K1,visa,credit,
C04269-K1,mastercard,debit,
C00622-K1,visa,credit,
C10132-K1,mastercard,credit,
C03381-K1,visa,credit,
C05530-K2,visa,debit,
C08679-K1,visa,credit,
C07717-K1,mastercard,credit,
C03397-K1,visa,credit,
C07006-K1,visa,credit,
C08190-K2,visa,credit,
C12453-K1,visa,credit,
C06744-K2,visa,debit,
C04571-K2,visa,debit,
C06362-K1,visa,credit,
C07513-K1,mastercard,debit,
C10402-K1,american express,credit,
C01426-K1,american express,credit,
C03231-K2,visa,credit,
C11148-K1,mastercard,debit,
C11246-K1,mastercard,debit,
C13081-K1,mastercard,credit,
C04865-K1,mastercard,credit,
C11522-K2,visa,credit,
C11970-K1,visa,debit,
C10852-K1,mastercard,credit,
C07845-K2,visa,debit,
C02147-K2,mastercard,credit,
C00889-K2,visa,debit,
C09657-K2,visa,credit,
C10372-K1,american express,credit,
C11847-K2,visa,credit,
C13449-K1,mastercard,debit,
C02780-K2,visa,debit,
C02181-K2,visa,credit,
C02231-K1,discover,credit,
C08482-K1,visa,debit,
C00810-K1,mastercard,debit,
C01719-K1,visa,debit,
C08989-K2,visa,credit,
C10840-K1,american express,credit,
C02809-K2,mastercard,debit,
C03427-K2,mastercard,debit,
C09296-K1,visa,credit,
C01890-K1,visa,credit,
C12861-K1,visa,debit,
C00488-K1,visa,debit,
C11951-K1,mastercard,credit,
C07295-K1,visa,credit,
C01104-K2,visa,credit,
C03676-K2,visa,debit,
C09806-K1,visa,debit,
C09344-K1,visa,debit,
C00557-K1,visa,credit,
C11381-K2,mastercard,debit,
C04196-K2,visa,credit,
C11352-K1,visa,credit,
C07615-K1,mastercard,credit,
C03285-K2,visa,debit,
C02740-K1,visa,debit,
C05791-K2,visa,debit,
C08366-K2,mastercard,credit,
C03264-K1,visa,credit,
C11460-K1,mastercard,credit,
C11173-K1,visa,debit,
C03360-K1,visa,credit,
C12680-K1,visa,credit,
C09521-K2,mastercard,debit,
C02842-K1,visa,debit,
C05031-K2,visa,debit,
C00008-K2,mastercard,debit,
C12966-K1,mastercard,credit,
C09872-K1,visa,credit,
C10032-K2,visa,credit,
C02715-K1,visa,credit,
C11787-K1,mastercard,credit,
C03898-K1,visa,debit,
C05942-K1,mastercard,credit,
C09579-K2,visa,credit,
C05504-K1,visa,debit,
C08962-K2,mastercard,debit,
C07703-K2,visa,debit,
C06324-K1,visa,credit,
