customer_id,first_seen,last_seen
C06075,2016-07-02 00:02:21,2016-11-29 20:21:21
C07096,2016-07-02 00:02:41,2016-12-28 22:03:04
C11919,2016-07-02 00:03:07,2016-12-29 18:38:39
C07867,2016-07-02 00:04:48,2016-12-29 22:57:34
C06743,2016-07-02 00:04:48,2016-12-13 13:42:39
C10193,2016-07-02 00:05:52,2016-12-29 15:18:33
C11923,2016-07-02 00:06:21,2016-12-29 23:49:47
C08925,2016-07-02 00:06:45,2016-12-29 17:58:00
C09301,2016-07-02 00:07:33,2016-12-30 23:56:08
C03218,2016-07-02 00:07:50,2016-12-30 23:55:52
C08945,2016-07-02 00:08:25,2016-12-29 22:29:08
C06598,2016-07-02 00:10:07,2016-12-27 19:54:08
C08662,2016-07-02 00:11:35,2016-12-29 16:41:39
C11709,2016-07-02 00:13:36,2016-12-28 20:11:35
C07648,2016-07-02 00:16:50,2016-12-28 22:29:39
C03575,2016-07-02 00:19:39,2016-12-30 23:26:54
C03847,2016-07-02 00:20:40,2016-12-21 20:54:31
C10234,2016-07-02 00:21:16,2016-12-20 19:33:19
C09711,2016-07-02 00:22:20,2016-12-30 06:27:04
C09339,2016-07-02 00:23:39,2016-12-21 22:33:05
C03622,2016-07-02 00:24:04,2016-12-26 20:04:08
C05704,2016-07-02 00:24:29,2016-12-30 22:29:32
C09947,2016-07-02 00:25:34,2016-12-26 23:47:46
C05283,2016-07-02 00:26:06,2016-12-28 15:02:06
C12942,2016-07-02 00:28:15,2016-12-30 16:55:12
C01109,2016-07-02 00:33:07,2016-12-28 23:55:22
C09363,2016-07-02 00:33:17,2016-12-30 23:43:02
C01525,2016-07-02 00:33:24,2016-12-28 15:07:17
C01909,2016-07-02 00:34:43,2016-12-29 21:52:28
C10906,2016-07-02 00:35:03,2016-12-28 19:11:29
C12593,2016-07-02 00:35:22,2016-12-28 06:39:12
C12961,2016-07-02 00:37:18,2016-12-28 23:04:06
C03363,2016-07-02 00:38:09,2016-12-29 21:30:44
C02354,2016-07-02 00:39:20,2016-12-30 23:18:12
C10745,2016-07-02 00:39:41,2016-12-28 16:25:24
C04108,2016-07-02 00:40:12,2016-12-28 22:47:22
C07870,2016-07-02 00:41:58,2016-12-28 19:46:04
C10333,2016-07-02 00:42:20,2016-12-28 22:23:53
C13171,2016-07-02 00:42:31,2016-12-29 17:50:55
C02231,2016-07-02 00:43:11,2016-12-28 02:21:11
C05362,2016-07-02 00:43:39,2016-12-28 14:52:33
C04960,2016-07-02 00:46:17,2016-12-21 05:49:52
C11000,2016-07-02 00:48:57,2016-12-28 23:49:42
C10679,2016-07-02 00:50:00,2016-12-28 17:56:45
C01953,2016-07-02 00:50:17,2016-12-30 12:41:27
C09221,2016-07-02 00:51:56,2016-12-28 03:50:44
C12758,2016-07-02 00:53:25,2016-12-30 15:54:45
C08924,2016-07-02 00:54:54,2016-12-24 17:30:53
C11625,2016-07-02 00:55:37,2016-12-30 22:56:35
C04105,2016-07-02 00:55:42,2016-12-29 23:36:42
C00750,2016-07-02 00:56:13,2016-12-28 23:49:37
C09486,2016-07-02 00:56:34,2016-12-28 17:18:32
C04597,2016-07-02 00:56:36,2016-12-29 22:23:49
C12517,2016-07-02 00:58:38,2016-12-28 21:28:16
C05854,2016-07-02 00:59:28,2016-12-29 10:19:36
C03230,2016-07-02 01:00:41,2016-12-24 00:31:01
C12136,2016-07-02 01:01:59,2016-12-28 20:34:27
C06872,2016-07-02 01:02:37,2016-12-22 14:56:51
C06248,2016-07-02 01:03:12,2016-07-02 01:03:12
C12094,2016-07-02 01:04:46,2016-12-28 18:38:57
C05312,2016-07-02 01:07:47,2016-12-29 17:07:19
C08742,2016-07-02 01:07:48,2016-12-28 20:38:24
C09276,2016-07-02 01:10:12,2016-12-30 01:58:52
C12234,2016-07-02 01:10:40,2016-12-28 22:05:01
C08842,2016-07-02 01:12:21,2016-12-28 16:13:29
C07505,2016-07-02 01:12:48,2016-12-29 23:23:12
C13001,2016-07-02 01:14:07,2016-12-28 23:18:56
C08037,2016-07-02 01:15:38,2016-12-30 23:28:57
C09936,2016-07-02 01:16:27,2016-12-27 01:43:01
C00259,2016-07-02 01:17:26,2016-12-28 06:38:33
C12863,2016-07-02 01:17:26,2016-12-28 22:41:03
C08841,2016-07-02 01:17:45,2016-12-28 17:00:06
C02515,2016-07-02 01:19:41,2016-12-29 13:52:25
C08605,2016-07-02 01:20:35,2016-12-26 00:56:38
C09998,2016-07-02 01:21:29,2016-12-30 18:23:25
C05560,2016-07-02 01:23:23,2016-12-28 18:01:47
C01828,2016-07-02 01:24:33,2016-12-27 22:38:09
C09872,2016-07-02 01:28:32,2016-12-10 14:10:58
C09253,2016-07-02 01:28:57,2016-12-21 03:54:18
C08391,2016-07-02 01:29:20,2016-12-28 22:10:22
C01048,2016-07-02 01:29:54,2016-12-25 18:08:27
C03047,2016-07-02 01:30:10,2016-12-28 20:49:18
C00272,2016-07-02 01:31:44,2016-12-19 21:57:18
C06791,2016-07-02 01:33:27,2016-12-08 22:06:16
C10656,2016-07-02 01:33:54,2016-12-27 01:48:26
C09405,2016-07-02 01:35:51,2016-12-11 18:31:41
C05622,2016-07-02 01:37:39,2016-12-25 20:51:01
C03277,2016-07-02 01:38:35,2016-12-05 15:21:42
C11464,2016-07-02 01:38:40,2016-12-29 23:05:24
C07212,2016-07-02 01:40:00,2016-12-29 21:05:30
C02250,2016-07-02 01:40:05,2016-12-29 21:30:28
C05689,2016-07-02 01:40:34,2016-12-29 23:42:59
C01154,2016-07-02 01:51:51,2016-12-27 03:34:11
C02331,2016-07-02 01:55:03,2016-12-27 17:51:55
C10755,2016-07-02 01:55:35,2016-12-23 20:05:44
C05078,2016-07-02 01:57:11,2016-12-27 20:22:13
C11227,2016-07-02 02:00:32,2016-12-29 20:33:29
C02342,2016-07-02 02:01:03,2016-12-29 23:01:56
C12907,2016-07-02 02:01:09,2016-12-30 22:00:51
C05996,2016-07-02 02:05:57,2016-12-24 23:47:36
C08027,2016-07-02 02:09:10,2016-12-28 23:34:58
C06055,2016-07-02 02:09:45,2016-12-26 21:38:51
C12682,2016-07-02 02:18:43,2016-12-27 16:40:39
C10270,2016-07-02 02:22:06,2016-12-27 19:36:50
C12598,2016-07-02 02:23:37,2016-12-28 20:27:57
C12982,2016-07-02 02:26:37,2016-12-21 23:44:25
C06147,2016-07-02 02:27:15,2016-12-28 22:26:17
C13440,2016-07-02 02:27:42,2016-12-30 23:32:10
C03351,2016-07-02 02:28:25,2016-12-30 17:55:41
C12722,2016-07-02 02:31:48,2016-12-05 21:13:53
C04361,2016-07-02 02:34:17,2016-12-27 22:25:25
C00614,2016-07-02 02:34:25,2016-12-30 22:58:09
C10867,2016-07-02 02:35:00,2016-12-28 22:39:04
C10852,2016-07-02 02:35:54,2016-12-28 16:22:41
C06885,2016-07-02 02:38:01,2016-12-28 20:14:42
C06811,2016-07-02 02:39:21,2016-12-28 00:43:01
C09671,2016-07-02 02:41:07,2016-12-27 17:48:10
C07033,2016-07-02 02:41:51,2016-12-28 19:58:51
C03771,2016-07-02 02:42:48,2016-12-28 15:10:16
C09165,2016-07-02 02:43:45,2016-12-28 23:20:33
C12084,2016-07-02 02:46:18,2016-12-30 23:51:50
C03851,2016-07-02 02:46:46,2016-12-28 14:28:25
C01333,2016-07-02 02:46:54,2016-12-29 23:18:34
C01521,2016-07-02 02:48:00,2016-12-28 23:01:08
C09750,2016-07-02 02:51:11,2016-12-24 20:29:31
C00844,2016-07-02 02:54:32,2016-12-25 15:16:52
C07220,2016-07-02 02:56:42,2016-12-30 01:32:18
C01563,2016-07-02 03:00:29,2016-11-14 23:39:05
C01954,2016-07-02 03:00:30,2016-12-27 22:13:21
C13449,2016-07-02 03:09:36,2016-12-30 15:14:13
C10955,2016-07-02 03:11:38,2016-12-29 18:07:08
C10516,2016-07-02 03:13:27,2016-12-29 12:47:09
C04582,2016-07-02 03:14:29,2016-12-25 23:58:01
C02134,2016-07-02 03:14:52,2016-12-29 19:25:38
C00331,2016-07-02 03:17:55,2016-12-29 18:37:56
C02608,2016-07-02 03:22:23,2016-12-28 15:00:10
C06403,2016-07-02 03:25:00,2016-12-28 22:15:15
C05196,2016-07-02 03:33:25,2016-12-24 01:22:44
C00969,2016-07-02 03:43:16,2016-12-30 23:41:28
C00732,2016-07-02 03:45:04,2016-11-29 19:13:36
C00094,2016-07-02 03:45:41,2016-12-30 15:26:23
C02902,2016-07-02 03:45:49,2016-12-30 21:54:37
C03412,2016-07-02 03:45:54,2016-12-20 03:01:00
C10239,2016-07-02 03:47:14,2016-11-28 21:00:33
C07058,2016-07-02 03:48:00,2016-12-21 14:17:29
C11883,2016-07-02 03:55:32,2016-07-12 21:09:24
C03474,2016-07-02 03:58:28,2016-12-29 20:49:09
C03649,2016-07-02 04:02:27,2016-12-25 20:14:40
C05958,2016-07-02 04:03:12,2016-12-29 13:55:26
C07803,2016-07-02 04:06:01,2016-12-12 20:30:46
C12124,2016-07-02 04:07:51,2016-12-30 16:16:42
C07523,2016-07-02 04:08:47,2016-12-29 22:02:18
C09184,2016-07-02 04:10:18,2016-12-25 18:42:44
C05128,2016-07-02 04:11:52,2016-12-30 20:44:38
C04034,2016-07-02 04:16:27,2016-12-30 22:09:53
C03556,2016-07-02 04:21:44,2016-11-02 02:25:14
C08120,2016-07-02 04:25:12,2016-12-27 00:41:37
C05961,2016-07-02 04:35:35,2016-12-29 21:06:46
C05098,2016-07-02 04:42:36,2016-11-16 22:01:47
C10778,2016-07-02 04:48:30,2016-12-04 15:23:40
C05276,2016-07-02 04:49:05,2016-12-26 12:49:45
C11309,2016-07-02 04:53:54,2016-12-29 21:58:34
C05277,2016-07-02 04:58:38,2016-12-19 21:27:16
C10397,2016-07-02 05:01:39,2016-12-14 20:59:55
C04313,2016-07-02 05:03:47,2016-12-22 22:40:39
C11873,2016-07-02 05:09:48,2016-12-29 18:06:08
C10553,2016-07-02 05:15:29,2016-12-29 21:49:53
C05010,2016-07-02 05:18:40,2016-12-10 14:31:14
C11929,2016-07-02 05:33:59,2016-12-30 18:44:18
C08749,2016-07-02 05:40:33,2016-11-30 23:38:21
C06678,2016-07-02 05:43:59,2016-12-29 22:17:40
C13372,2016-07-02 05:52:45,2016-12-14 01:02:24
C09827,2016-07-02 05:55:25,2016-12-28 19:23:14
C05258,2016-07-02 06:03:03,2016-11-16 16:28:10
C01959,2016-07-02 06:29:24,2016-11-29 15:06:05
C03883,2016-07-02 06:30:53,2016-07-02 06:30:53
C07227,2016-07-02 06:40:27,2016-12-28 17:57:51
C03858,2016-07-02 07:13:23,2016-12-20 06:23:14
C07504,2016-07-02 07:14:17,2016-12-22 17:32:56
C04707,2016-07-02 07:19:07,2016-09-29 16:13:18
C11917,2016-07-02 07:31:02,2016-11-25 23:05:06
C11468,2016-07-02 08:16:15,2016-12-23 22:08:30
C07936,2016-07-02 09:39:44,2016-12-29 22:29:45
C00773,2016-07-02 09:58:19,2016-12-30 21:55:29
C01347,2016-07-02 10:09:18,2016-12-28 15:34:16
C11294,2016-07-02 11:19:45,2016-12-29 22:20:36
C10911,2016-07-02 11:53:32,2016-12-24 01:52:05
C02575,2016-07-02 12:01:01,2016-12-30 18:14:07
C11743,2016-07-02 12:02:24,2016-12-28 15:54:29
C09286,2016-07-02 12:16:30,2016-12-28 00:49:00
C12426,2016-07-02 12:23:48,2016-12-29 22:07:19
C04893,2016-07-02 12:32:13,2016-12-30 22:01:10
C12311,2016-07-02 12:38:58,2016-12-29 17:01:15
C07858,2016-07-02 12:48:10,2016-12-30 23:50:00
C04543,2016-07-02 13:01:02,2016-12-25 11:10:44
C12417,2016-07-02 13:05:12,2016-12-23 21:43:52
C00129,2016-07-02 13:08:11,2016-12-30 17:05:10
C01254,2016-07-02 13:08:43,2016-12-24 20:13:18
C08072,2016-07-02 13:09:58,2016-12-28 15:34:30
C04383,2016-07-02 13:15:40,2016-12-08 18:33:09
C04798,2016-07-02 13:20:11,2016-12-29 21:53:10
C09666,2016-07-02 13:20:37,2016-12-30 21:13:10
C04696,2016-07-02 13:21:17,2016-11-05 19:33:09
C08824,2016-07-02 13:22:52,2016-12-27 17:12:12
C09876,2016-07-02 13:26:57,2016-12-25 19:46:37
C05876,2016-07-02 13:34:01,2016-12-29 21:31:25
C07871,2016-07-02 13:36:36,2016-12-30 01:27:39
C12894,2016-07-02 13:36:45,2016-12-29 13:57:10
C04026,2016-07-02 13:37:02,2016-12-28 12:49:41
C01974,2016-07-02 13:38:55,2016-12-19 16:31:32
C04693,2016-07-02 13:42:01,2016-12-06 09:28:24
C10364,2016-07-02 13:43:30,2016-12-22 17:03:05
C09981,2016-07-02 13:50:20,2016-12-30 13:33:35
C08181,2016-07-02 13:56:34,2016-12-08 21:33:54
C12833,2016-07-02 13:56:46,2016-12-01 21:04:24
C05782,2016-07-02 13:59:48,2016-12-28 23:46:36
C10661,2016-07-02 14:00:09,2016-12-28 23:06:37
C07456,2016-07-02 14:01:01,2016-12-29 17:17:54
C08913,2016-07-02 14:08:59,2016-12-28 14:20:28
C09159,2016-07-02 14:13:47,2016-12-30 20:50:24
C12572,2016-07-02 14:22:19,2016-12-18 22:37:20
C11522,2016-07-02 14:41:06,2016-12-29 23:51:41
C11061,2016-07-02 14:42:24,2016-11-25 01:13:06
C03171,2016-07-02 14:52:10,2016-12-07 20:17:22
C10800,2016-07-02 14:53:12,2016-12-27 13:03:36
C10687,2016-07-02 14:56:03,2016-12-26 15:55:32
C02817,2016-07-02 14:57:17,2016-07-31 21:17:58
C03714,2016-07-02 14:58:23,2016-12-30 12:33:21
C07671,2016-07-02 14:58:42,2016-12-28 23:51:58
C08614,2016-07-02 14:59:19,2016-12-29 16:18:07
C12489,2016-07-02 15:04:37,2016-07-26 00:28:46
C11381,2016-07-02 15:09:05,2016-12-29 00:09:20
C01308,2016-07-02 15:10:04,2016-12-26 01:35:20
C00823,2016-07-02 15:10:57,2016-12-20 13:42:58
C00424,2016-07-02 15:14:06,2016-12-17 17:09:29
C09342,2016-07-02 15:17:09,2016-11-02 16:16:16
C13033,2016-07-02 15:19:41,2016-12-28 17:04:49
C12738,2016-07-02 15:19:54,2016-12-26 10:49:32
C02480,2016-07-02 15:21:07,2016-12-29 23:46:26
C03415,2016-07-02 15:22:01,2016-08-18 18:17:53
C08269,2016-07-02 15:22:38,2016-12-28 00:20:57
C12030,2016-07-02 15:24:07,2016-12-27 13:23:56
C12345,2016-07-02 15:24:15,2016-12-14 03:38:21
C11082,2016-07-02 15:24:27,2016-12-28 17:35:13
C04865,2016-07-02 15:24:49,2016-12-30 22:40:13
