device_id,DeviceType,DeviceInfo,os,browser
samsung_sm-g892a,mobile,SAMSUNG SM-G892A Build/NRD90M,Android 7.0,samsung browser 6.2
ios_device,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0
windows,desktop,Windows,,chrome 62.0
macos,desktop,MacOS,Mac OS X 10_11_6,chrome 62.0
sm-g930v,mobile,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android
blade_a602,mobile,BLADE A602 Build/MRA58K,,chrome 62.0 for android
xt1635-02,mobile,XT1635-02 Build/NPN26.118-22-2,,chrome 62.0 for android
z970,mobile,Z970,Android,chrome 56.0 for android
sm-n920v,mobile,SM-N920V Build/NRD90M,Android 7.0,chrome 62.0 for android
redmi_note_4,mobile,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android
lenovo_pb1-750m,mobile,Lenovo PB1-750M Build/S100,,chrome 62.0 for android
lt22i,mobile,LT22i Build/6.2.A.1.100,,chrome 62.0 for android
rv520,desktop,rv:52.0,Windows 10,firefox
sm-g950u,mobile,SM-G950U Build/NRD90M,,chrome 60.0 for android
lg-h872,mobile,LG-H872 Build/NRD90U,Android 7.0,chrome 62.0 for android
lg-k500,mobile,LG-K500 Build/MMB29M,,chrome 62.0 for android
sm-p550,mobile,SM-P550 Build/MMB29M,,chrome 62.0 for android
sm-j700m,mobile,SM-J700M Build/MMB29K,,chrome 61.0 for android
trident70,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop
rv570,desktop,rv:57.0,Mac OS X 10.12,firefox 57.0
samsung_sm-g930t,mobile,SAMSUNG SM-G930T Build/NRD90M,Android 7.0,samsung browser 6.2
blade_v6_plus,mobile,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android
bll-l23,mobile,BLL-L23 Build/HUAWEIBLL-L23,,chrome 62.0 for android
kyocera-c6742a,mobile,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic
f3113,mobile,F3113 Build/33.2.A.4.70,,chrome 62.0 for android
d5306,mobile,D5306 Build/19.4.A.0.182,,chrome 62.0 for android
m4_ss4457,mobile,M4 SS4457 Build/MRA58K,,chrome 62.0 for android
sm-g955u,mobile,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-g610m,mobile,SM-G610M Build/MMB29K,,other
samsung_sm-g935f,mobile,SAMSUNG SM-G935F Build/NRD90M,,samsung browser 6.2
xt1635-01,mobile,XT1635-01,Android 7.1.1,chrome 62.0 for android
rv560,desktop,rv:56.0,,firefox 56.0
vs500,mobile,VS500,Android 7.0,android webview 4.0
cam-l03,mobile,CAM-L03 Build/HUAWEICAM-L03,,chrome 62.0 for android
rct6303w87m7,mobile,RCT6303W87M7 Build/MRA58K,Android 6.0,chrome 62.0 for android
m4_ss4451,mobile,M4 SS4451 Build/LMY47D,,chrome
kffowi,mobile,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic
moto_e_4,mobile,Moto E (4) Build/NMA26.42-19,,chrome generic
samsung,mobile,SAMSUNG,,samsung browser 6.2
e2306,mobile,E2306 Build/26.3.A.1.33,,chrome 62.0 for android
ilium_l910,mobile,Ilium L910 Build/MRA58K,,chrome 62.0 for android
gt-i9300,mobile,GT-I9300,,chrome 62.0 for android
lg-h420,mobile,LG-H420 Build/LRX21Y,,other
windows_nt_62,desktop,Windows NT 6.2,,ie
xt1032,mobile,XT1032 Build/LPBS23.13-56-2,,chrome 55.0 for android
gt-i9060m,mobile,GT-I9060M Build/KTU84P,,chrome 62.0 for android
rv380,desktop,rv:38.0,,firefox
moto_g_4,mobile,Moto G (4) Build/NPJS25.93-14-10,,chrome generic
sm-g530t,mobile,SM-G530T,Android 5.1.1,chrome 62.0 for android
lgmp260,mobile,LGMP260 Build/NRD90U,Android 7.0,chrome 61.0 for android
sm-e500m,mobile,SM-E500M Build/KTU84P,,chrome 62.0 for android
samsung_sm-g950u,mobile,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2
rv110,desktop,rv:11.0,Windows 7,ie 11.0 for desktop
sm-g920i,mobile,SM-G920I Build/NRD90M,,chrome 62.0 for android
samsung_sm-j327t,mobile,SAMSUNG SM-J327T Build/NRD90M,Android 7.0,samsung browser 6.2
sm-g900h,mobile,SM-G900H Build/MMB29K,,chrome 60.0 for android
trt-l53,mobile,TRT-L53 Build/HUAWEITRT-L53,,chrome 62.0 for android
